topology,links,nodes,flows,avg,into sol,into time,into gap,vrp sol,vrp time,vrp gap,lower sol,lower time,lower gap,relax sol,relax time,relax gap,ctr sol,ctr time,ctr gap,h sol,h time,h gap
zoo_7_3,6,5,3,2,3,0.01,0,3,0.04,0,3,0,0,2,0,33.33,3,0.00,0.00%,3,0.000,0.00%
zoo_7_5,9,7,5,2.2,4,0.01,0,4,0.05,0,4,0,0,3,0,25,4,0.00,0.00%,5,0.000,20.00%
zoo_7_7,9,7,7,2.285714286,4,0.01,0,4,0.04,0,4,0,0,3,0,25,4,0.00,0.00%,5,0.000,20.00%
zoo_8_9,12,8,9,2.222222222,6,0.01,0,6,0.28,0,6,0,0,4,0,33.33,6,0.00,0.00%,6,0.000,0.00%
zoo_8_12,13,8,12,2.333333333,6,0.01,0,6,0.06,0,6,0.01,0,4,0,33.33,6,0.00,0.00%,7,0.000,14.29%
zoo_9_6,10,7,6,2,6,0.01,0,6,0.05,0,6,0,0,3,0,50,6,0.00,0.00%,6,0.000,0.00%
zoo_10_4,8,7,4,2.25,3,0.01,0,3,0.05,0,3,0.01,0,3,0,0,3,0.00,0.00%,3,0.000,0.00%
zoo_10_8,11,8,8,2.625,4,0.01,0,4,0.24,0,4,0.01,0,4,0,0,4,0.00,0.00%,4,0.000,0.00%
zoo_10_12,14,10,12,2.583333333,5,0.01,0,5,0.12,0,5,0.01,0,5,0,0,5,0.00,0.00%,6,0.000,16.67%
zoo_10_16,14,10,16,2.5,5,0.01,0,5,0.07,0,5,0.01,0,5,0,0,5,0.00,0.00%,6,0.000,16.67%
zoo_10_20,14,10,20,2.6,5,0.01,0,5,0.04,0,5,0.01,0,5,0,0,5,0.00,0.00%,5,0.000,0.00%
zoo_11_6,11,10,6,2.666666667,5,0.01,0,5,0.13,0,5,0,0,4,0,20,5,0.00,0.00%,5,0.000,0.00%
zoo_11_12,14,9,12,2.416666667,6,0.01,0,6,0.13,0,6,0.01,0,4,0,33.33,7,0.00,14.29%,6,0.000,0.00%
zoo_12_6,11,8,6,2.166666667,5,0.01,0,5,0.29,0,5,0,0,4,0,20,5,0.00,0.00%,6,0.000,16.67%
zoo_12_9,15,11,9,2.444444444,8,0.01,0,8,0.02,0,8,0,0,5,0,37.5,8,0.00,0.00%,9,0.000,11.11%
zoo_12_12,15,11,12,2.75,6,0.01,0,6,0.06,0,6,0.01,0,5,0,16.66,6,0.00,0.00%,6,0.000,0.00%
zoo_12_18,15,10,18,2.777777778,5,0.02,0,5,0.16,0,5,0.01,0,4,0,20,5,0.00,0.00%,6,0.000,16.67%
zoo_12_24,19,12,24,2.75,6,0.09,0,6,0.22,0,6,0.01,0,6,0,0,7,0.00,14.29%,8,0.000,25.00%
zoo_12_30,19,12,30,2.8,6,0.02,0,6,0.24,0,6,0.01,0,6,0,0,6,0.00,0.00%,8,0.000,25.00%
zoo_13_9,13,10,9,2.111111111,7,0.01,0,7,0.13,0,7,0.01,0,4,0,42.85,7,0.00,0.00%,8,0.000,12.50%
zoo_13_12,15,9,12,2.5,6,0.01,0,6,0.28,0,6,0.01,0,4,0,33.33,6,0.00,0.00%,6,0.000,0.00%
zoo_13_17,18,12,17,2.882352941,5,0.01,0,5,0.05,0,5,0.01,0,5,0,0,6,0.00,16.67%,7,0.000,28.57%
zoo_13_33,18,13,33,2.878787879,6,0.02,0,6,0.23,0,6,0.01,0,6,0,0,7,0.00,14.29%,7,0.000,14.29%
zoo_14_9,13,10,9,3,4,0.01,0,4,0.24,0,4,0.01,0,3,0,25,4,0.00,0.00%,5,0.000,20.00%
zoo_14_17,19,14,17,2.588235294,7,0.01,0,7,0.12,0,7,0.01,0,7,0,0,8,0.00,12.50%,8,0.000,12.50%
zoo_14_25,21,13,25,2.96,6,0.01,0,6,0.16,0,6,0.01,0,6,0,0,8,0.00,25.00%,10,0.000,40.00%
zoo_14_33,22,14,33,2.939393939,7,0.03,0,7,0.4,0,7,0.01,0,7,0,0,9,0.00,22.22%,9,0.000,22.22%
zoo_14_42,22,14,42,3,7,0.03,0,7,0.65,0,7,0.01,0,7,0,0,9,0.00,22.22%,9,0.000,22.22%
zoo_15_15,21,13,15,2.4,11,0.01,0,11,0.05,0,11,0.01,0,5,0,54.54,12,0.00,8.33%,12,0.000,8.33%
zoo_15_45,21,15,45,3.155555556,7,0.03,0,7,0.49,0,7,0.01,0,7,0,0,8,0.00,12.50%,8,0.000,12.50%
zoo_16_12,13,11,12,2.666666667,5,0.01,0,5,0.03,0,5,0.01,0,5,0,0,5,0.00,0.00%,6,0.000,16.67%
zoo_16_23,21,14,23,2.826086957,8,0.02,0,8,0.1,0,8,0.01,0,6,0,25,9,0.00,11.11%,9,0.000,11.11%
zoo_16_34,25,16,34,2.794117647,9,0.04,0,9,0.38,0,9,0.01,0,8,0,11.11,10,0.00,10.00%,11,0.000,18.18%
zoo_16_45,24,15,45,3.155555556,7,0.04,0,7,0.45,0,7,0.01,0,7,0,0,8,0.00,12.50%,8,0.000,12.50%
zoo_16_56,25,16,56,3.071428571,8,0.05,0,8,0.54,0,8,0.02,0,8,0,0,9,0.00,11.11%,9,0.000,11.11%
zoo_17_29,37,16,29,2,29,0.03,0,29,0.43,0,29,0,0,13,0,55.17,29,0.00,0.00%,29,0.000,0.00%
zoo_18_15,23,14,15,2,15,0.02,0,15,0.28,0,15,0,0,7,0,53.33,15,0.00,0.00%,15,0.000,0.00%
zoo_18_29,20,14,29,2.586206897,8,0.02,0,8,0.16,0,8,0.01,0,7,0,12.5,8,0.00,0.00%,10,0.000,20.00%
zoo_18_43,25,16,43,2.720930233,10,0.04,0,10,0.37,0,10,0.01,0,7,0,30,10,0.00,0.00%,13,0.000,23.08%
zoo_18_57,26,17,57,2.719298246,10,0.04,0,10,0.79,0,10,0.01,0,8,0,20,10,0.00,0.00%,10,0.000,0.00%
zoo_18_72,28,18,72,2.888888889,10,0.07,0,10,1.36,0,10,0.02,0,9,0.01,10,10,0.00,0.00%,10,0.001,0.00%
zoo_19_15,18,13,15,2.6,8,0.01,0,8,0.04,0,8,0.01,0,6,0,25,8,0.00,0.00%,9,0.000,11.11%
zoo_19_18,21,16,18,2.5,10,0.01,0,10,0.06,0,10,0.01,0,7,0,30,11,0.00,9.09%,10,0.000,0.00%
zoo_19_29,23,16,29,2.620689655,10,0.02,0,10,0.16,0,10,0.01,0,7,0,30,10,0.00,0.00%,10,0.000,0.00%
zoo_19_57,30,18,57,3.070175439,12,0.05,0,12,1.08,0,12,0.02,0,9,0,25,12,0.00,0.00%,12,0.001,0.00%
zoo_19_72,30,18,72,3,12,0.06,0,12,1.19,0,12,0.02,0,9,0.01,25,12,0.00,0.00%,12,0.001,0.00%
